#subject,:(sub-group seperator) =(lecture-group sperator),no of lecture groups
UCS503 L,1:2:3=4:5:6=7:8:9=10:11:12=13:14:15
UCS503 P,1=2=3=4=5=6=7=8=9=10=11=12=13=14=15
UCS519 L,1:2:3=4:5:6=7:8:9=10:11:12=13:14:15
UCS519 P,1=2=3=4=5=6=7=8=9=10=11=12=13=14=15
UCS521 L,1:2:3=4:5:6=7:8:9=10:11:12=13:14:15
UCS521 T,1=2=3=4=5=6=7=8=9=10=11=12=13=14=15
UCS523 L,1:2:3:4:5:6:7:8:9=10:11:12:13:14:15
UCS523 P,1:2=3:4=5:6=7:8=9:10=11:12=13:14=15
UCS616 L,1:2:3=4:5:6=7:8:9=10:11:12=13:14:15
UCS616 P,1=2=3=4=5=6=7=8=9=10=11=12=13=14=15
UCS701 L,1:2:3=4:5:6=7:8:9=10:11:12=13:14:15
UCS701 T,1=2=3=4=5=6=7=8=9=10=11=12=13=14=15
#